id,numero,bandeira,limite,juros_rotativo,id_cliente
1,3576295312689304,jcb,96033.6,4.49,45
2,676306482301797666,maestro,38912.52,4.58,20
3,3587643808036158,jcb,36336.55,7.43,8
4,201523682535065,diners-club-enroute,14638.38,5.02,25
5,5610543473213817,bankcard,28510.64,5.67,9
6,5020190478881802,maestro,72790.89,4.52,5
7,4508863796798312,visa-electron,74807.3,3.91,37
8,560225728872318652,china-unionpay,60831.77,8.59,34
9,372301157862253,americanexpress,44681.21,8.45,24
10,3579662787957523,jcb,72922.46,7.17,22
11,4911097589935994,switch,87767.97,4.95,25
12,3536818829305293,jcb,24614.59,4.41,37
13,6767096200695659697,solo,96446.34,4.4,17
14,4490133034755262,visa,37218.02,6.92,34
15,63041209277730293,laser,18854.06,5.95,10
16,3528361865909934,jcb,22818.58,7.1,5
17,5543341401317152,mastercard,34928.63,5.38,37
18,3555690257736646,jcb,87247.19,8.18,45
19,5100132476689467,mastercard,30621.52,2.51,32
20,6390617672547664,instapayment,26042.39,2.63,16
21,3581179630508136,jcb,97719.1,7.83,33
22,490584987233095616,switch,28970.73,7.83,3
23,5007662895063880,mastercard,69238.15,5.23,10
24,5100136435850029,mastercard,79540.52,8.74,35
25,6759242382719464,switch,9474.94,7.55,8
26,372301942648660,americanexpress,80839.36,7.08,29
27,3530220666150138,jcb,76149.61,2.04,24
28,58934392153864780,maestro,37851.51,3.85,7
29,67714567426188490,laser,14282.97,4.24,6
30,3561224178181823,jcb,36893.37,7.94,42
31,5602246318522497,china-unionpay,28454.22,3.29,44
32,30430762711946,diners-club-carte-blanche,37374.09,6.97,6
33,5474236269628844,diners-club-us-ca,36686.42,4.25,14
34,3549777533258526,jcb,3311.8,5.06,18
35,3551349386427866,jcb,68997.5,4.14,21
